# Engine name: FYDPish lite
# Sat Apr 17 00:41:15 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2.4000    625.0000      0.0000      1.0000      0.0000   2119.5057     20.8490      1.2615      1.2613   1391.3195    213.3443    232.1635      1.5037      1.6364      1.0000 
     2.4000    650.0000      0.0000      1.0000      0.0000   2119.5407     20.8491      1.2615      1.2613   1391.3185    214.0837    232.7215      1.5090      1.6403      1.0000 
     2.4000    675.0000      0.0000      1.0000      0.0000   2119.5739     20.8492      1.2616      1.2614   1391.3175    214.7891    233.2579      1.5139      1.6441      1.0000 
     2.4000    700.0000      0.0000      1.0000      0.0000   2119.6055     20.8493      1.2616      1.2614   1391.3166    215.4636    233.7743      1.5187      1.6478      1.0000 
     2.4000    725.0000      0.0000      1.0000      0.0000   2119.6357     20.8494      1.2616      1.2615   1391.3157    216.1096    234.2719      1.5232      1.6513      1.0000 
     2.4000    750.0000      0.0000      1.0000      0.0000   2119.6645     20.8495      1.2617      1.2615   1391.3149    216.7294    234.7521      1.5276      1.6546      1.0000 
     2.6000    200.0000      0.0000      1.0000      0.0000   2268.6906     21.4665      1.2503      1.2499   1422.4654    192.0679    219.6745      1.3241      1.5145      1.0000 
     2.6000    225.0000      0.0000      1.0000      0.0000   2269.0660     21.4672      1.2507      1.2503   1422.4585    195.2546    221.7411      1.3461      1.5287      1.0000 
     2.6000    250.0000      0.0000      1.0000      0.0000   2269.3850     21.4678      1.2510      1.2506   1422.4525    197.9965    223.5401      1.3650      1.5411      1.0000 
     2.6000    275.0000      0.0000      1.0000      0.0000   2269.6606     21.4684      1.2513      1.2509   1422.4332    200.3935    225.1280      1.3816      1.5521      1.0000 
     2.6000    300.0000      0.0000      1.0000      0.0000   2269.9019     21.4689      1.2515      1.2512   1422.4290    202.5158    226.5456      1.3962      1.5619      1.0000 
     2.6000    325.0000      0.0000      1.0000      0.0000   2270.1155     21.4693      1.2517      1.2514   1422.4253    204.4151    227.8233      1.4093      1.5707      1.0000 
     2.6000    350.0000      0.0000      1.0000      0.0000   2270.3063     21.4697      1.2519      1.2516   1422.4220    206.1300    228.9844      1.4211      1.5787      1.0000 
     2.6000    375.0000      0.0000      1.0000      0.0000   2270.4783     21.4700      1.2521      1.2518   1422.4189    207.6902    230.0467      1.4319      1.5860      1.0000 
     2.6000    400.0000      0.0000      1.0000      0.0000   2270.6343     21.4703      1.2523      1.2520   1422.4162    209.1191    231.0247      1.4417      1.5928      1.0000 
     2.6000    425.0000      0.0000      1.0000      0.0000   2270.7768     21.4706      1.2524      1.2521   1422.4136    210.4352    231.9297      1.4508      1.5990      1.0000 
     2.6000    450.0000      0.0000      1.0000      0.0000   2270.9075     21.4709      1.2525      1.2522   1422.4112    211.6536    232.7713      1.4592      1.6048      1.0000 
     2.6000    475.0000      0.0000      1.0000      0.0000   2271.0281     21.4712      1.2527      1.2524   1422.4090    212.7865    233.5573      1.4670      1.6102      1.0000 
     2.6000    500.0000      0.0000      1.0000      0.0000   2271.1398     21.4714      1.2528      1.2525   1422.4070    213.8442    234.2940      1.4743      1.6153      1.0000 
     2.6000    525.0000      0.0000      1.0000      0.0000   2271.2437     21.4716      1.2529      1.2526   1422.4050    214.8352    234.9870      1.4812      1.6201      1.0000 
     2.6000    550.0000      0.0000      1.0000      0.0000   2271.3406     21.4718      1.2530      1.2527   1422.4032    215.7668    235.6411      1.4876      1.6246      1.0000 
     2.6000    575.0000      0.0000      1.0000      0.0000   2271.4314     21.4720      1.2531      1.2528   1422.4015    216.6451    236.2602      1.4936      1.6289      1.0000 
     2.6000    600.0000      0.0000      1.0000      0.0000   2271.5166     21.4722      1.2531      1.2529   1422.3999    217.4754    236.8479      1.4994      1.6329      1.0000 
     2.6000    625.0000      0.0000      1.0000      0.0000   2271.5968     21.4724      1.2532      1.2530   1422.3984    218.2623    237.4071      1.5048      1.6368      1.0000 
     2.6000    650.0000      0.0000      1.0000      0.0000   2271.6726     21.4726      1.2533      1.2530   1422.3970    219.0097    237.9407      1.5100      1.6405      1.0000 
     2.6000    675.0000      0.0000      1.0000      0.0000   2271.7442     21.4728      1.2534      1.2531   1422.3956    219.7212    238.4509      1.5149      1.6440      1.0000 
     2.6000    700.0000      0.0000      1.0000      0.0000   2271.8121     21.4729      1.2534      1.2532   1422.3943    220.3999    238.9398      1.5195      1.6474      1.0000 
     2.6000    725.0000      0.0000      1.0000      0.0000   2271.8767     21.4731      1.2535      1.2533   1422.3930    221.0483    239.4093      1.5240      1.6506      1.0000 
     2.6000    750.0000      0.0000      1.0000      0.0000   2271.9381     21.4732      1.2536      1.2533   1422.3918    221.6691    239.8610      1.5283      1.6537      1.0000 
     2.8000    200.0000      0.0000      1.0000      0.0000   2404.3726     22.0483      1.2403      1.2396   1448.6674    195.6709    223.9387      1.3246      1.5159      1.0000 
