# Engine name: FYDPish lite
# Fri Apr 30 19:44:38 2021
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1.7500    300.0000      0.0000      1.0000      0.0000   1512.8116     18.5537      1.2910      1.2898   1238.1024    178.4995    201.5395      1.4138      1.5963      1.0000 
     1.7500    350.0000      0.0000      1.0000      0.0000   1513.2656     18.5566      1.2908      1.2892   1238.7301    182.2117    204.4825      1.4425      1.6188      1.0000 
     1.7500    400.0000      0.0000      1.0000      0.0000   1513.7756     18.5598      1.2905      1.2886   1239.3977    185.3497    206.9901      1.4666      1.6378      1.0000 
     1.7500    450.0000      0.0000      1.0000      0.0000   1514.3389     18.5634      1.2903      1.2879   1240.0927    188.0605    209.1700      1.4872      1.6541      1.0000 
     1.7500    500.0000      0.0000      1.0000      0.0000   1514.9524     18.5672      1.2900      1.2871   1240.8045    190.4421    211.0951      1.5052      1.6684      1.0000 
     1.7500    550.0000      0.0000      1.0000      0.0000   1515.6130     18.5713      1.2897      1.2864   1241.5248    192.5624    212.8164      1.5210      1.6810      1.0000 
     1.7500    600.0000      0.0000      1.0000      0.0000   1516.3174     18.5756      1.2894      1.2855   1242.2470    194.4706    214.3714      1.5352      1.6923      1.0000 
     1.7500    650.0000      0.0000      1.0000      0.0000   1517.0624     18.5802      1.2892      1.2847   1242.9659    196.2035    215.7880      1.5480      1.7025      1.0000 
     1.7500    700.0000      0.0000      1.0000      0.0000   1517.8449     18.5851      1.2889      1.2838   1243.6777    197.7892    217.0878      1.5596      1.7118      1.0000 
     1.7500    750.0000      0.0000      1.0000      0.0000   1518.6617     18.5901      1.2886      1.2829   1244.3795    199.2494    218.2879      1.5702      1.7203      1.0000 
     1.7500    800.0000      0.0000      1.0000      0.0000   1519.5098     18.5953      1.2883      1.2820   1245.0692    200.6018    219.4018      1.5800      1.7281      1.0000 
     1.7500    850.0000      0.0000      1.0000      0.0000   1520.3863     18.6007      1.2881      1.2811   1245.7454    201.8603    220.4405      1.5891      1.7353      1.0000 
     1.7500    900.0000      0.0000      1.0000      0.0000   1521.2884     18.6062      1.2878      1.2802   1246.4072    203.0365    221.4130      1.5975      1.7421      1.0000 
     1.7500    950.0000      0.0000      1.0000      0.0000   1522.2133     18.6119      1.2876      1.2793   1247.0541    204.1401    222.3269      1.6053      1.7483      1.0000 
     1.7500   1000.0000      0.0000      1.0000      0.0000   1523.1587     18.6176      1.2874      1.2784   1247.6856    205.1789    223.1886      1.6127      1.7542      1.0000 
     2.0000     50.0000      0.0000      1.0000      0.0000   1768.1927     19.4830      1.2782      1.2782   1308.6212    129.8040    175.9634      0.9727      1.3186      1.0000 
     2.0000    100.0000      0.0000      1.0000      0.0000   1768.3549     19.4835      1.2785      1.2785   1308.6145    156.6847    189.4960      1.1742      1.4201      1.0000 
     2.0000    150.0000      0.0000      1.0000      0.0000   1768.4394     19.4839      1.2787      1.2786   1308.6152    168.9499    196.8552      1.2661      1.4752      1.0000 
     2.0000    200.0000      0.0000      1.0000      0.0000   1768.5003     19.4842      1.2788      1.2787   1308.6195    176.6067    201.8865      1.3235      1.5129      1.0000 
     2.0000    250.0000      0.0000      1.0000      0.0000   1768.5513     19.4845      1.2788      1.2787   1308.6265    182.1056    205.7706      1.3647      1.5420      1.0000 
     2.0000    300.0000      0.0000      1.0000      0.0000   1768.5977     19.4849      1.2789      1.2788   1308.6358    186.3773    208.9270      1.3967      1.5657      1.0000 
     2.0000    350.0000      0.0000      1.0000      0.0000   1768.6421     19.4852      1.2789      1.2788   1308.6473    189.8593    211.5708      1.4228      1.5855      1.0000 
     2.0000    400.0000      0.0000      1.0000      0.0000   1768.6858     19.4855      1.2790      1.2788   1308.6607    192.7910    213.8369      1.4447      1.6024      1.0000 
     2.0000    450.0000      0.0000      1.0000      0.0000   1768.7297     19.4859      1.2790      1.2788   1308.6761    195.3176    215.8149      1.4636      1.6172      1.0000 
     2.0000    500.0000      0.0000      1.0000      0.0000   1768.7741     19.4862      1.2790      1.2788   1308.6934    197.5339    217.5668      1.4802      1.6303      1.0000 
     2.0000    550.0000      0.0000      1.0000      0.0000   1768.8197     19.4866      1.2790      1.2788   1308.7126    199.5053    219.1370      1.4950      1.6421      1.0000 
     2.0000    600.0000      0.0000      1.0000      0.0000   1768.8664     19.4870      1.2791      1.2788   1308.7335    201.2796    220.5887      1.5082      1.6529      1.0000 
     2.0000    650.0000      0.0000      1.0000      0.0000   1768.9146     19.4874      1.2791      1.2787   1308.7563    202.8929    221.9182      1.5203      1.6629      1.0000 
     2.0000    700.0000      0.0000      1.0000      0.0000   1768.9644     19.4878      1.2791      1.2787   1308.7808    204.3710    223.1393      1.5313      1.6720      1.0000 
     2.0000    750.0000      0.0000      1.0000      0.0000   1769.0158     19.4883      1.2791      1.2787   1308.8070    205.7337    224.2675      1.5415      1.6804      1.0000 
     2.0000    800.0000      0.0000      1.0000      0.0000   1769.0689     19.4887      1.2792      1.2787   1308.8349    206.9970    225.3156      1.5510      1.6882      1.0000 
     2.0000    850.0000      0.0000      1.0000      0.0000   1769.1238     19.4892      1.2792      1.2787   1308.8644    208.1739    226.2936      1.5597      1.6955      1.0000 
     2.0000    900.0000      0.0000      1.0000      0.0000   1769.1806     19.4896      1.2792      1.2786   1308.8957    209.2749    227.2100      1.5680      1.7023      1.0000 
     2.0000    950.0000      0.0000      1.0000      0.0000   1769.2392     19.4901      1.2792      1.2786   1308.9285    210.3087    228.0718      1.5757      1.7087      1.0000 
     2.0000   1000.0000      0.0000      1.0000      0.0000   1769.2996     19.4906      1.2792      1.2786   1308.9629    211.2828    228.8849      1.5829      1.7148      1.0000 
     2.2500     50.0000      0.0000      1.0000      0.0000   1993.7229     20.3518      1.2649      1.2647   1364.1074    135.1442    183.3940      0.9716      1.3184      1.0000 
     2.2500    100.0000      0.0000      1.0000      0.0000   1994.5000     20.3533      1.2661      1.2659   1364.0739    163.2739    197.6331      1.1738      1.4208      1.0000 
     2.2500    150.0000      0.0000      1.0000      0.0000   1994.8516     20.3540      1.2666      1.2665   1364.0588    176.1080    205.2836      1.2661      1.4758      1.0000 
     2.2500    200.0000      0.0000      1.0000      0.0000   1995.0654     20.3545      1.2669      1.2668   1364.0498    184.0681    210.3075      1.3233      1.5120      1.0000 
     2.2500    250.0000      0.0000      1.0000      0.0000   1995.2145     20.3549      1.2671      1.2670   1364.0438    189.7025    213.9873      1.3638      1.5384      1.0000 
     2.2500    300.0000      0.0000      1.0000      0.0000   1995.3272     20.3552      1.2673      1.2672   1364.0394    194.0027    216.8773      1.3948      1.5592      1.0000 
     2.2500    350.0000      0.0000      1.0000      0.0000   1995.4170     20.3555      1.2674      1.2673   1364.0362    197.4520    219.2653      1.4196      1.5764      1.0000 
     2.2500    400.0000      0.0000      1.0000      0.0000   1995.4913     20.3557      1.2675      1.2674   1364.0337    200.3194    221.3131      1.4402      1.5911      1.0000 
     2.2500    450.0000      0.0000      1.0000      0.0000   1995.5547     20.3559      1.2676      1.2675   1364.0318    202.7679    223.1121      1.4578      1.6041      1.0000 
     2.2500    500.0000      0.0000      1.0000      0.0000   1995.6100     20.3562      1.2677      1.2675   1364.0304    204.9017    224.7168      1.4731      1.6156      1.0000 
     2.2500    550.0000      0.0000      1.0000      0.0000   1995.6591     20.3564      1.2677      1.2676   1364.0293    206.7911    226.1634      1.4867      1.6260      1.0000 
     2.2500    600.0000      0.0000      1.0000      0.0000   1995.7034     20.3566      1.2678      1.2676   1364.0286    208.4851    227.4786      1.4989      1.6355      1.0000 
     2.2500    650.0000      0.0000      1.0000      0.0000   1995.7438     20.3568      1.2678      1.2677   1364.0281    210.0193    228.6829      1.5099      1.6441      1.0000 
     2.2500    700.0000      0.0000      1.0000      0.0000   1995.7812     20.3570      1.2679      1.2677   1364.0278    211.4205    229.7923      1.5200      1.6521      1.0000 
     2.2500    750.0000      0.0000      1.0000      0.0000   1995.8159     20.3571      1.2679      1.2677   1364.0277    212.7092    230.8199      1.5293      1.6595      1.0000 
